Price,Zip,City,State,Beds,Baths,Footage
275000.0,80904,Colorado Springs,CO,2,1,924
399800.0,80904,Colorado Springs,CO,2,2,1123
320000.0,80904,Colorado Springs,CO,1,2,1287
499900.0,80904,Colorado Springs,CO,3,3,1570
1100000.0,80904,Colorado Springs,CO,4,4,7234
1100000.0,80904,Colorado Springs,CO,4,3,3463
585000.0,80904,Colorado Springs,CO,3,2,1600
467000.0,80904,Colorado Springs,CO,3,2,1505
349000.0,80904,Colorado Springs,CO,2,1,901
1200000.0,80904,Colorado Springs,CO,3,3,2418
330000.0,80904,Colorado Springs,CO,2,1,978
550000.0,80904,Colorado Springs,CO,4,3,2158
1995000.0,80904,Colorado Springs,CO,4,3,3437
749000.0,80904,Colorado Springs,CO,4,2,2638
290000.0,80904,Colorado Springs,CO,1,1,616
420000.0,80904,Colorado Springs,CO,4,2,1440
3250000.0,80904,Colorado Springs,CO,5,6,7833
540000.0,80904,Colorado Springs,CO,4,3,2352
749000.0,80904,Colorado Springs,CO,4,2,2389
359000.0,80904,Colorado Springs,CO,2,1,882
305000.0,80904,Colorado Springs,CO,1,1,677
375000.0,80904,Colorado Springs,CO,2,1,840
800000.0,80904,Colorado Springs,CO,4,3,3219
635000.0,80904,Colorado Springs,CO,4,2,1837
1500000.0,80904,Colorado Springs,CO,4,5,4785
750000.0,80904,Colorado Springs,CO,3,3,2452
1700000.0,80904,Colorado Springs,CO,4,4,6970
459000.0,80904,Colorado Springs,CO,2,2,1393
394500.0,80904,Colorado Springs,CO,5,2,1752
775000.0,80904,Colorado Springs,CO,6,3,4034
628000.0,80904,Colorado Springs,CO,3,2,1872
4250000.0,80904,Colorado Springs,CO,6,8,7859
750000.0,80904,Colorado Springs,CO,4,4,3017
425000.0,80904,Colorado Springs,CO,3,2,1986
425000.0,80904,Colorado Springs,CO,3,2,1347
540000.0,80904,Colorado Springs,CO,2,2,1728
685000.0,80904,Colorado Springs,CO,4,3,2862
499900.0,80904,Colorado Springs,CO,3,3,2366
724900.0,80904,Colorado Springs,CO,3,3,2288
524000.0,80904,Colorado Springs,CO,3,2,1800
1195000.0,80904,Colorado Springs,CO,5,4,3948
479000.0,80907,Colorado Springs,CO,4,3,1886
405000.0,80907,Colorado Springs,CO,3,2,1505
825000.0,80907,Colorado Springs,CO,3,3,3151
3450000.0,80907,Colorado Springs,CO,6,7,14840
750000.0,80907,Colorado Springs,CO,4,2,2668
410000.0,80907,Colorado Springs,CO,4,2,1607
549000.0,80907,Colorado Springs,CO,3,2,1795
559000.0,80907,Colorado Springs,CO,5,3,2526
500000.0,80907,Colorado Springs,CO,4,2,2146
379900.0,80907,Colorado Springs,CO,3,1,1315
418000.0,80907,Colorado Springs,CO,5,2,2141
390000.0,80907,Colorado Springs,CO,3,2,2050
525000.0,80907,Colorado Springs,CO,4,2,2160
600000.0,80907,Colorado Springs,CO,5,2,3438
749000.0,80907,Colorado Springs,CO,3,2,1842
384000.0,80907,Colorado Springs,CO,3,2,1263
549900.0,80907,Colorado Springs,CO,3,1,1882
809000.0,80907,Colorado Springs,CO,4,3,2802
419063.0,80907,Colorado Springs,CO,3,2,1543
649000.0,80907,Colorado Springs,CO,7,4,3584
2100000.0,80907,Colorado Springs,CO,6,5,7993
374900.0,80907,Colorado Springs,CO,3,1,936
420000.0,80907,Colorado Springs,CO,4,2,1690
639449.0,80907,Colorado Springs,CO,3,3,2433
475000.0,80907,Colorado Springs,CO,5,3,1949
694000.0,80907,Colorado Springs,CO,3,3,2246
440000.0,80907,Colorado Springs,CO,2,1,975
1495000.0,80907,Colorado Springs,CO,5,4,4661
440000.0,80907,Colorado Springs,CO,3,2,1119
1000000.0,80907,Colorado Springs,CO,6,4,3252
440000.0,80907,Colorado Springs,CO,3,2,2176
575000.0,80907,Colorado Springs,CO,6,3,2290
369900.0,80907,Colorado Springs,CO,2,2,851
427500.0,80907,Colorado Springs,CO,3,2,2120
398000.0,80907,Colorado Springs,CO,4,2,1676
402000.0,80907,Colorado Springs,CO,3,2,1461
725000.0,80907,Colorado Springs,CO,2,2,1692
385000.0,80907,Colorado Springs,CO,3,2,1538
425000.0,80907,Colorado Springs,CO,4,3,2050
480000.0,80907,Colorado Springs,CO,3,2,3088
415000.0,80907,Colorado Springs,CO,3,2,1568
625000.0,80919,Colorado Springs,CO,6,4,3270
835000.0,80919,Colorado Springs,CO,4,3,2784
750000.0,80919,Colorado Springs,CO,5,4,3576
674900.0,80919,Colorado Springs,CO,4,3,2696
1599999.0,80919,Colorado Springs,CO,5,4,7929
770000.0,80919,Colorado Springs,CO,4,3,3554
589000.0,80919,Colorado Springs,CO,4,3,3118
650000.0,80919,Colorado Springs,CO,4,3,3375
627500.0,80919,Colorado Springs,CO,4,3,2764
1100000.0,80919,Colorado Springs,CO,5,5,4843
535000.0,80919,Colorado Springs,CO,4,3,1942
475000.0,80919,Colorado Springs,CO,3,2,1337
850000.0,80919,Colorado Springs,CO,5,3,3039
714999.0,80919,Colorado Springs,CO,4,3,3528
475000.0,80919,Colorado Springs,CO,3,2,2148
485000.0,80919,Colorado Springs,CO,4,3,1913
895000.0,80919,Colorado Springs,CO,6,5,5010
565000.0,80919,Colorado Springs,CO,4,4,2694
585000.0,80919,Colorado Springs,CO,5,4,3073
1035000.0,80919,Colorado Springs,CO,5,4,4344
594000.0,80919,Colorado Springs,CO,4,3,3061
939000.0,80919,Colorado Springs,CO,5,4,4608
2280000.0,80919,Colorado Springs,CO,4,7,10360
740000.0,80919,Colorado Springs,CO,4,4,3660
875000.0,80919,Colorado Springs,CO,5,4,4022
669950.0,80919,Colorado Springs,CO,4,3,3520
622500.0,80919,Colorado Springs,CO,5,4,2863
1399900.0,80919,Colorado Springs,CO,5,4,5125
850000.0,80919,Colorado Springs,CO,5,5,4518
800000.0,80919,Colorado Springs,CO,4,3,3478
465000.0,80919,Colorado Springs,CO,3,3,2827
849500.0,80919,Colorado Springs,CO,4,4,3682
1595000.0,80919,Colorado Springs,CO,4,3,5706
850000.0,80919,Colorado Springs,CO,5,3,3762
670000.0,80919,Colorado Springs,CO,5,4,2948
970000.0,80919,Colorado Springs,CO,4,4,3296
1225000.0,80919,Colorado Springs,CO,6,6,6105
479000.0,80919,Colorado Springs,CO,4,3,1882
1349000.0,80919,Colorado Springs,CO,4,4,5287
550000.0,80919,Colorado Springs,CO,4,3,2452
755000.0,80919,Colorado Springs,CO,5,4,4118
