Price,Zip,City,State,Beds,Baths,Footage
449900.0,80918,Colorado Springs,CO,5,3,2844
339900.0,80918,Colorado Springs,CO,3,3,1624
449900.0,80918,Colorado Springs,CO,4,3,1860
487500.0,80918,Colorado Springs,CO,6,3,2596
420000.0,80918,Colorado Springs,CO,4,2,1714
600000.0,80918,Colorado Springs,CO,4,3,2646
787000.0,80918,Colorado Springs,CO,5,4,4256
490000.0,80918,Colorado Springs,CO,4,3,2615
575000.0,80918,Colorado Springs,CO,5,4,3443
359900.0,80918,Colorado Springs,CO,3,2,1457
505000.0,80918,Colorado Springs,CO,3,3,2784
415000.0,80918,Colorado Springs,CO,3,2,1456
460000.0,80918,Colorado Springs,CO,4,3,1762
425000.0,80918,Colorado Springs,CO,3,2,1543
760000.0,80918,Colorado Springs,CO,5,3,3812
365000.0,80918,Colorado Springs,CO,4,2,1690
569000.0,80918,Colorado Springs,CO,4,4,2944
398000.0,80918,Colorado Springs,CO,3,2,1197
397000.0,80918,Colorado Springs,CO,3,2,1221
468900.0,80918,Colorado Springs,CO,4,3,2899
409900.0,80918,Colorado Springs,CO,3,2,1835
575000.0,80918,Colorado Springs,CO,4,2,3368
499900.0,80918,Colorado Springs,CO,4,3,2219
415000.0,80918,Colorado Springs,CO,4,2,1906
499999.0,80918,Colorado Springs,CO,4,3,2196
459900.0,80918,Colorado Springs,CO,4,3,2744
440000.0,80918,Colorado Springs,CO,4,2,2048
360000.0,80918,Colorado Springs,CO,2,2,1132
435000.0,80918,Colorado Springs,CO,5,2,1936
449900.0,80918,Colorado Springs,CO,5,3,2316
464000.0,80918,Colorado Springs,CO,4,3,2701
409900.0,80918,Colorado Springs,CO,4,2,1615
1100000.0,80918,Colorado Springs,CO,5,4,5154
600000.0,80918,Colorado Springs,CO,4,4,2927
535000.0,80918,Colorado Springs,CO,4,3,2390
850000.0,80918,Colorado Springs,CO,5,4,3688
440000.0,80918,Colorado Springs,CO,3,3,2247
1149000.0,80918,Colorado Springs,CO,4,5,4559
415000.0,80918,Colorado Springs,CO,5,3,2156
700000.0,80918,Colorado Springs,CO,6,4,4510
445000.0,80918,Colorado Springs,CO,3,3,1985
489900.0,80917,Colorado Springs,CO,3,3,2123
379900.0,80917,Colorado Springs,CO,4,3,1990
415000.0,80917,Colorado Springs,CO,3,2,1303
450000.0,80917,Colorado Springs,CO,4,3,2127
449900.0,80917,Colorado Springs,CO,3,3,1960
169999.0,80917,Colorado Springs,CO,2,2,879
450000.0,80917,Colorado Springs,CO,4,3,2874
449900.0,80917,Colorado Springs,CO,4,4,2172
399900.0,80917,Colorado Springs,CO,4,2,1951
485000.0,80917,Colorado Springs,CO,4,3,2444
425000.0,80917,Colorado Springs,CO,3,2,1734
460000.0,80917,Colorado Springs,CO,5,3,2898
390000.0,80917,Colorado Springs,CO,4,2,1960
485000.0,80917,Colorado Springs,CO,4,3,2204
385000.0,80917,Colorado Springs,CO,3,2,1712
475000.0,80917,Colorado Springs,CO,4,3,2382
489900.0,80917,Colorado Springs,CO,4,4,2599
485000.0,80917,Colorado Springs,CO,4,2,2245
499900.0,80917,Colorado Springs,CO,5,3,2340
490400.0,80917,Colorado Springs,CO,5,3,2496
430000.0,80917,Colorado Springs,CO,4,3,2340
425997.0,80917,Colorado Springs,CO,3,2,1459
465000.0,80917,Colorado Springs,CO,4,3,2361
607000.0,80917,Colorado Springs,CO,6,4,3717
463000.0,80917,Colorado Springs,CO,3,3,2444
479900.0,80917,Colorado Springs,CO,4,4,3318
480000.0,80917,Colorado Springs,CO,5,3,2496
375000.0,80917,Colorado Springs,CO,4,2,1806
614900.0,80917,Colorado Springs,CO,5,3,2800
475000.0,80917,Colorado Springs,CO,3,3,1703
440000.0,80917,Colorado Springs,CO,4,3,2323
445000.0,80917,Colorado Springs,CO,3,3,2318
415999.0,80917,Colorado Springs,CO,4,3,1610
410000.0,80917,Colorado Springs,CO,4,2,1950
