Price,Zip,City,State,Beds,Baths,Footage
374900.0,80920,Colorado Springs,CO,5,2,1798
500000.0,80920,Colorado Springs,CO,4,3,2028
412000.0,80920,Colorado Springs,CO,3,2,1239
585000.0,80920,Colorado Springs,CO,6,4,3886
625000.0,80920,Colorado Springs,CO,4,4,3267
499000.0,80920,Colorado Springs,CO,4,4,2488
525000.0,80920,Colorado Springs,CO,4,4,3382
400000.0,80920,Colorado Springs,CO,2,3,1540
524900.0,80920,Colorado Springs,CO,4,4,2673
430000.0,80920,Colorado Springs,CO,4,2,1679
389000.0,80920,Colorado Springs,CO,4,2,1774
650000.0,80920,Colorado Springs,CO,5,4,2788
565000.0,80920,Colorado Springs,CO,5,3,2692
449000.0,80920,Colorado Springs,CO,3,3,2360
750000.0,80920,Colorado Springs,CO,4,4,4016
590000.0,80920,Colorado Springs,CO,5,4,3430
1150000.0,80920,Colorado Springs,CO,6,3,5026
599000.0,80920,Colorado Springs,CO,5,4,3775
725000.0,80920,Colorado Springs,CO,4,4,3984
390000.0,80920,Colorado Springs,CO,3,2,1292
935000.0,80920,Colorado Springs,CO,5,4,4228
515000.0,80920,Colorado Springs,CO,4,4,2649
595000.0,80920,Colorado Springs,CO,4,4,2709
699900.0,80920,Colorado Springs,CO,5,3,3754
725000.0,80920,Colorado Springs,CO,5,4,3648
899000.0,80920,Colorado Springs,CO,4,3,2858
579000.0,80920,Colorado Springs,CO,5,4,3135
647500.0,80920,Colorado Springs,CO,3,3,3502
512000.0,80920,Colorado Springs,CO,4,3,2608
515000.0,80920,Colorado Springs,CO,4,4,2685
895000.0,80920,Colorado Springs,CO,4,5,4829
940000.0,80920,Colorado Springs,CO,6,4,4596
565000.0,80920,Colorado Springs,CO,4,3,3470
450000.0,80920,Colorado Springs,CO,4,2,1963
508400.0,80920,Colorado Springs,CO,4,3,2122
615000.0,80920,Colorado Springs,CO,5,3,3638
669000.0,80920,Colorado Springs,CO,6,4,3809
825000.0,80920,Colorado Springs,CO,6,4,4224
925000.0,80920,Colorado Springs,CO,3,4,3990
547750.0,80920,Colorado Springs,CO,4,4,2310
625000.0,80920,Colorado Springs,CO,5,4,3426
724500.0,80921,Colorado Springs,CO,5,4,4058
850000.0,80921,Colorado Springs,CO,5,4,3810
5945000.0,80921,Colorado Springs,CO,5,5,8094
1580000.0,80921,Colorado Springs,CO,6,5,4277
950000.0,80921,Colorado Springs,CO,4,3,4016
700000.0,80921,Colorado Springs,CO,5,4,3903
875000.0,80921,Colorado Springs,CO,5,5,3410
949000.0,80921,Colorado Springs,CO,5,4,3714
699900.0,80921,Colorado Springs,CO,5,4,4197
4800000.0,80921,Colorado Springs,CO,7,9,8044
865000.0,80921,Colorado Springs,CO,5,3,4310
675000.0,80921,Colorado Springs,CO,4,4,2895
3250000.0,80921,Colorado Springs,CO,8,9,13370
2300000.0,80921,Colorado Springs,CO,5,7,6227
600000.0,80921,Colorado Springs,CO,5,4,3251
1375000.0,80921,Colorado Springs,CO,4,4,4914
434900.0,80921,Colorado Springs,CO,3,3,1651
665000.0,80921,Colorado Springs,CO,5,4,3622
2995000.0,80921,Colorado Springs,CO,6,7,7058
699900.0,80921,Colorado Springs,CO,5,4,3850
562900.0,80921,Colorado Springs,CO,3,3,2409
1233000.0,80921,Colorado Springs,CO,5,5,5049
535000.0,80921,Colorado Springs,CO,3,3,2432
669900.0,80921,Colorado Springs,CO,5,3,3426
566500.0,80921,Colorado Springs,CO,3,3,1828
760000.0,80921,Colorado Springs,CO,4,3,3936
650000.0,80921,Colorado Springs,CO,4,4,3347
1499000.0,80921,Colorado Springs,CO,5,4,5227
999999.0,80921,Colorado Springs,CO,4,4,5214
560000.0,80921,Colorado Springs,CO,3,2,3200
3998000.0,80921,Colorado Springs,CO,5,8,10106
849499.0,80921,Colorado Springs,CO,4,3,3616
659900.0,80921,Colorado Springs,CO,4,4,3804
2895000.0,80921,Colorado Springs,CO,4,3,5785
1054500.0,80921,Colorado Springs,CO,5,4,4166
849000.0,80921,Colorado Springs,CO,5,3,3037
1081950.0,80921,Colorado Springs,CO,4,3,3212
1175000.0,80921,Colorado Springs,CO,4,4,3584
1015000.0,80921,Colorado Springs,CO,5,4,4561
669900.0,80921,Colorado Springs,CO,4,4,3978
416118.0,80924,Colorado Springs,CO,3,3,2305
585000.0,80924,Colorado Springs,CO,4,4,2769
840000.0,80924,Colorado Springs,CO,4,3,3356
725000.0,80924,Colorado Springs,CO,4,4,3424
775000.0,80924,Colorado Springs,CO,5,4,3941
575000.0,80924,Colorado Springs,CO,4,3,3137
589999.0,80924,Colorado Springs,CO,4,3,3464
625000.0,80924,Colorado Springs,CO,5,4,3588
561400.0,80924,Colorado Springs,CO,4,3,3864
680000.0,80924,Colorado Springs,CO,5,3,3171
565000.0,80924,Colorado Springs,CO,4,3,2612
596990.0,80924,Colorado Springs,CO,2,2,1907
649900.0,80924,Colorado Springs,CO,4,3,3574
450000.0,80924,Colorado Springs,CO,3,3,2232
750000.0,80924,Colorado Springs,CO,5,4,3520
392700.0,80924,Colorado Springs,CO,3,2,1342
619900.0,80924,Colorado Springs,CO,3,3,2746
689000.0,80924,Colorado Springs,CO,4,3,3176
398714.0,80924,Colorado Springs,CO,3,3,1762
551990.0,80924,Colorado Springs,CO,3,3,2035
655000.0,80924,Colorado Springs,CO,4,3,3556
599900.0,80924,Colorado Springs,CO,6,3,3231
1190000.0,80924,Colorado Springs,CO,4,4,3862
619900.0,80924,Colorado Springs,CO,4,3,3402
599999.0,80924,Colorado Springs,CO,3,3,2955
875000.0,80924,Colorado Springs,CO,7,4,4536
599900.0,80924,Colorado Springs,CO,3,3,3044
650000.0,80924,Colorado Springs,CO,5,3,3792
489900.0,80924,Colorado Springs,CO,3,3,2066
625000.0,80924,Colorado Springs,CO,4,3,3137
659900.0,80924,Colorado Springs,CO,4,4,3253
775000.0,80924,Colorado Springs,CO,5,4,3621
679000.0,80924,Colorado Springs,CO,4,3,3316
769888.0,80924,Colorado Springs,CO,4,4,3751
887500.0,80924,Colorado Springs,CO,5,3,3772
699000.0,80924,Colorado Springs,CO,5,4,3589
688500.0,80924,Colorado Springs,CO,4,3,3652
759990.0,80924,Colorado Springs,CO,4,3,3776
764888.0,80924,Colorado Springs,CO,4,3,3782
1565000.0,80924,Colorado Springs,CO,5,5,4606
719900.0,80924,Colorado Springs,CO,4,3,3916
