Price,Zip,City,State,Beds,Baths,Footage
275000.0,80909,Colorado Springs,CO,5,2,1990
405000.0,80909,Colorado Springs,CO,3,1,1980
299000.0,80909,Colorado Springs,CO,3,2,1300
349900.0,80909,Colorado Springs,CO,3,2,1395
525000.0,80909,Colorado Springs,CO,5,2,2248
409900.0,80909,Colorado Springs,CO,3,2,1816
365000.0,80909,Colorado Springs,CO,3,2,1624
381000.0,80909,Colorado Springs,CO,4,2,1689
349000.0,80909,Colorado Springs,CO,4,2,1438
299999.0,80909,Colorado Springs,CO,2,1,756
499800.0,80909,Colorado Springs,CO,5,3,3194
459900.0,80909,Colorado Springs,CO,5,3,2383
210000.0,80909,Colorado Springs,CO,2,1,972
399000.0,80909,Colorado Springs,CO,3,2,2200
409900.0,80909,Colorado Springs,CO,5,2,2100
399000.0,80909,Colorado Springs,CO,4,3,2129
400000.0,80909,Colorado Springs,CO,4,2,2106
390000.0,80909,Colorado Springs,CO,5,3,2288
395000.0,80909,Colorado Springs,CO,4,4,1588
359000.0,80909,Colorado Springs,CO,3,2,2000
380000.0,80909,Colorado Springs,CO,3,1,1104
399000.0,80909,Colorado Springs,CO,4,2,1816
254900.0,80909,Colorado Springs,CO,3,1,1032
434850.0,80909,Colorado Springs,CO,5,2,2070
424900.0,80909,Colorado Springs,CO,4,2,2788
299000.0,80909,Colorado Springs,CO,3,1,1285
419000.0,80909,Colorado Springs,CO,4,3,1886
1250000.0,80909,Colorado Springs,CO,5,5,4638
539000.0,80909,Colorado Springs,CO,7,4,3060
360000.0,80909,Colorado Springs,CO,3,2,1304
365000.0,80909,Colorado Springs,CO,2,1,1288
525000.0,80909,Colorado Springs,CO,5,2,1925
575000.0,80909,Colorado Springs,CO,5,3,2938
650000.0,80909,Colorado Springs,CO,4,3,3474
359000.0,80909,Colorado Springs,CO,2,2,2276
340000.0,80909,Colorado Springs,CO,4,2,1690
320000.0,80909,Colorado Springs,CO,3,1,925
530000.0,80909,Colorado Springs,CO,3,2,2151
349999.0,80909,Colorado Springs,CO,3,2,1092
572999.0,80909,Colorado Springs,CO,5,3,2824
425000.0,80910,Colorado Springs,CO,3,3,2733
379900.0,80910,Colorado Springs,CO,4,2,1391
399999.0,80910,Colorado Springs,CO,4,3,1723
284900.0,80910,Colorado Springs,CO,3,1,978
389900.0,80910,Colorado Springs,CO,3,3,1712
350000.0,80910,Colorado Springs,CO,5,2,2028
359999.0,80910,Colorado Springs,CO,4,3,2203
389900.0,80910,Colorado Springs,CO,3,2,1808
449000.0,80910,Colorado Springs,CO,3,3,2836
330000.0,80910,Colorado Springs,CO,3,2,1764
369900.0,80910,Colorado Springs,CO,4,2,1924
385000.0,80910,Colorado Springs,CO,4,2,1666
274999.0,80910,Colorado Springs,CO,3,1,978
299995.0,80910,Colorado Springs,CO,2,1,978
569995.0,80910,Colorado Springs,CO,5,4,3250
370000.0,80910,Colorado Springs,CO,5,2,1800
349900.0,80910,Colorado Springs,CO,3,1,940
359000.0,80910,Colorado Springs,CO,3,2,1714
374900.0,80910,Colorado Springs,CO,3,1,1826
352500.0,80910,Colorado Springs,CO,4,2,1641
635000.0,80910,Colorado Springs,CO,5,4,3698
410000.0,80910,Colorado Springs,CO,5,3,2157
369900.0,80910,Colorado Springs,CO,3,3,1381
429000.0,80910,Colorado Springs,CO,3,3,2530
380000.0,80910,Colorado Springs,CO,5,2,1996
373000.0,80910,Colorado Springs,CO,4,2,1909
